CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,,,,
chr16,429750,NAG,NAG,,,,,,,,
chr16,432091, YPL062W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YPL062W is not an essential gene; homozygous diploid mutant shows a decrease in glycogen accumulation,,,,,,,
chr16,456760, ARS1633, - Autonomously Replicating Sequence,,,,,,,,
chr16,461357, YPL050C,MNN9 - Subunit of Golgi mannosyltransferase complex also containing Anp1p, Mnn10p, Mnn11p, and Hoc1p that mediates elongation of the polysaccharide mannan backbone; forms a separate complex with Van1p that is also involved in backbone elongation,,,,,
chr16,469777,NAG,NAG,,,,,,,,
chr16,499528,NAG,NAG,,,,,,,,
chr16,502679, YPL025C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr16,515669, YPL019C,VTC3 - Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion,,,,,,
chr16,528959,NAG,NAG,,,,,,,,
chr16,538294, YPL009C,TAE2 - Protein of unknown function, involved in protein translation; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,,,,,,
chr16,545475, YPL006W,NCR1 - Vacuolar membrane protein that transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein,,,,,,,
chr16,558033,NAG,NAG,,,,,,,,
chr16,56101,NAG,NAG,,,,,,,,
chr16,580614, YPR010C,RPA135 - RNA polymerase I second largest subunit A135,,,,,,,,
chr16,589896,NAG,NAG,,,,,,,,
chr16,607467,NAG,NAG,,,,,,,,
chr16,607820,NAG,NAG,,,,,,,,
chr16,607997,NAG,NAG,,,,,,,,
chr16,615257,NAG,NAG,,,,,,,,
chr16,621903,NAG,NAG,,,,,,,,
chr16,623198,NAG,NAG,,,,,,,,
chr16,643534,NAG,NAG,,,,,,,,
chr16,643732,NAG,NAG,,,,,,,,
chr16,646234,NAG,NAG,,,,,,,,
chr16,648653,NAG,NAG,,,,,,,,
chr16,657348,NAG,NAG,,,,,,,,
chr16,662014, YPR049C,ATG11 - Adapter protein for pexophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; directs receptor-bound cargo to the phagophore assembly site (PAS) for packaging into vesicles; required for recruiting other proteins to the (PAS),,,,,,,,
chr16,670433, YPR055W,SEC8 - Essential 121kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis
chr16,675808,NAG,NAG,,,,,,,,
chr16,697845, YPR078C, - Putative protein of unknown function; possible role in DNA metabolism and/or in genome stability; expression is heat-inducible,,,,,,,,
chr16,698526,NAG,NAG,,,,,,,,
chr16,699233, YPR079W,MRL1 - Membrane protein with similarity to mammalian mannose-6-phosphate receptors, possibly functions as a sorting receptor in the delivery of vacuolar hydrolases,,,,,,,
chr16,713743, YPR089W, - Protein of unknown function; exhibits genetic interaction with ERG11 and protein-protein interaction with Hsp82p,,,,,,,,
chr16,715738, YPR089W, - Protein of unknown function; exhibits genetic interaction with ERG11 and protein-protein interaction with Hsp82p,,,,,,,,
chr16,747862, YPR111W,DBF20 - Ser/Thr kinase involved in late nuclear division, one of the mitotic exit network (MEN) proteins; necessary for the execution of cytokinesis,,,,,,,
chr16,765419, YPR117W, - Putative protein of unknown function,,,,,,,,
chr16,775575,NAG,NAG,,,,,,,,
chr16,815942, YPR141C,KAR3 - Minus-end-directed microtubule motor that functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate,,,,,,
chr16,819515,NAG,NAG,,,,,,,,
chr16,822877, YPR145W,ASN1 - Asparagine synthetase, isozyme of Asn2p; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway,,,,,,,
chr16,829180,NAG,NAG,,,,,,,,
chr16,850633, YPRCdelta23, - Ty1 LTR,,,,,,,,
chr16,850634, YPRCdelta23, - Ty1 LTR,,,,,,,,
chr16,850639, YPRCdelta23, - Ty1 LTR,,,,,,,,
chr16,85402,NAG,NAG,,,,,,,,
chr16,862883, YPR160W,GPH1 - Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway,,,,,,
chr16,868371,NAG,NAG,,,,,,,,
chr16,870626,NAG,NAG,,,,,,,,
chr16,875682, YPR165W,RHO1 - GTP-binding protein of the rho subfamily of Ras-like proteins, involved in establishment of cell polarity; regulates protein kinase C (Pkc1p) and the cell wall synthesizing enzyme 1,3-beta-glucan synthase (Fks1p and Gsc2p),,,,,,
chr16,909717,NAG,NAG,,,,,,,,
chr16,922863,NAG,NAG,,,,,,,,
chr1,112637, YAL021C,CCR4 - Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening,,,,,,
chr1,113278, YAL021C,CCR4 - Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening,,,,,,
chr1,13194,NAG,NAG,,,,,,,,
chr1,13385, YAL064C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,,,,
chr1,13413, YAL064C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,,,,
chr1,13420, YAL064C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,,,,
chr1,13442, YAL064C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,,,,
chr1,136, TEL01L-XR, - Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats,,,,,
chr1,13798,NAG,NAG,,,,,,,,
chr1,13807,NAG,NAG,,,,,,,,
chr1,13830,NAG,NAG,,,,,,,,
chr1,141, TEL01L-XR, - Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats,,,,,
chr1,141762,NAG,NAG,,,,,,,,
chr1,14312,NAG,NAG,,,,,,,,
chr1,14314,NAG,NAG,,,,,,,,
chr1,14343,NAG,NAG,,,,,,,,
chr1,143575,NAG,NAG,,,,,,,,
chr1,14655,NAG,NAG,,,,,,,,
chr1,14667,NAG,NAG,,,,,,,,
chr1,14723,NAG,NAG,,,,,,,,
chr1,14758,NAG,NAG,,,,,,,,
chr1,14765,NAG,NAG,,,,,,,,
chr1,14877,NAG,NAG,,,,,,,,
chr1,152105,NAG,NAG,,,,,,,,
chr1,15250,NAG,NAG,,,,,,,,
chr1,15673,NAG,NAG,,,,,,,,
chr1,15772,NAG,NAG,,,,,,,,
chr1,15921,NAG,NAG,,,,,,,,
chr1,16006,NAG,NAG,,,,,,,,
chr1,16264,NAG,NAG,,,,,,,,
chr1,16480,NAG,NAG,,,,,,,,
chr1,16527,NAG,NAG,,,,,,,,
chr1,16552,NAG,NAG,,,,,,,,
chr1,178459,NAG,NAG,,,,,,,,
chr1,18377,NAG,NAG,,,,,,,,
chr1,18413,NAG,NAG,,,,,,,,
chr1,18457,NAG,NAG,,,,,,,,
chr1,18498,NAG,NAG,,,,,,,,
chr1,18505,NAG,NAG,,,,,,,,
chr1,18553,NAG,NAG,,,,,,,,
chr1,18562,NAG,NAG,,,,,,,,
chr1,18574,NAG,NAG,,,,,,,,
chr1,19196,NAG,NAG,,,,,,,,
chr1,19354,NAG,NAG,,,,,,,,
chr1,198518,NAG,NAG,,,,,,,,
chr1,198582,NAG,NAG,,,,,,,,
chr1,198677,NAG,NAG,,,,,,,,
chr1,198851,NAG,NAG,,,,,,,,
chr1,198856,NAG,NAG,,,,,,,,
chr1,198861,NAG,NAG,,,,,,,,
chr1,198863,NAG,NAG,,,,,,,,
chr1,198864,NAG,NAG,,,,,,,,
chr1,198865,NAG,NAG,,,,,,,,
chr1,198867,NAG,NAG,,,,,,,,
chr1,198874,NAG,NAG,,,,,,,,
chr1,198877,NAG,NAG,,,,,,,,
chr1,198880,NAG,NAG,,,,,,,,
chr1,201265,NAG,NAG,,,,,,,,
chr1,201269,NAG,NAG,,,,,,,,
chr1,201270,NAG,NAG,,,,,,,,
chr1,201276,NAG,NAG,,,,,,,,
chr1,201278,NAG,NAG,,,,,,,,
chr1,201283,NAG,NAG,,,,,,,,
chr1,201284,NAG,NAG,,,,,,,,
chr1,201286,NAG,NAG,,,,,,,,
chr1,201295,NAG,NAG,,,,,,,,
chr1,201300,NAG,NAG,,,,,,,,
chr1,201304,NAG,NAG,,,,,,,,
chr1,201305,NAG,NAG,,,,,,,,
chr1,204041, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204043, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204050, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204176, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204178, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204186, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204188, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204194, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,20420,NAG,NAG,,,,,,,,
chr1,204218, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,204223, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,206278, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,206345, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,206360, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,206363, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,206375, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,207247, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,207248, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,207702, YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,
chr1,21278,NAG,NAG,,,,,,,,
chr1,23467,NAG,NAG,,,,,,,,
chr1,23636,NAG,NAG,,,,,,,,
chr1,23639,NAG,NAG,,,,,,,,
chr1,25487, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,25489, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27075, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27080, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27081, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27084, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27090, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27099, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27105, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27126, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,27129, YAL063C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,,,,
chr1,30796,NAG,NAG,,,,,,,,
chr1,35113,NAG,NAG,,,,,,,,
chr1,37834, YAL058W,CNE1 - Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast,,,,,,,
chr1,38041, YAL058W,CNE1 - Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast,,,,,,,
chr1,40593, YAL056W,GPB2 - Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p,,,,,,,
chr1,42835,NAG,NAG,,,,,,,,
chr1,45487,NAG,NAG,,,,,,,,
chr1,457, YAL069W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr1,476, YAL069W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr1,48206, YAL053W,FLC2 - Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance,,,,,,,,
chr1,48533,NAG,NAG,,,,,,,,
chr1,48640, YAL051W,OAF1 - Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis,,,,,,,
chr1,487, YAL069W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr1,492, YAL069W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr1,537, YAL069W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,,,,
chr1,65761,NAG,NAG,,,,,,,,
chr1,66785, YAL040C,CLN3 - G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis,,,,,,,
chr2,112395, YBL058W,SHP1 - UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p; interacts with ubiquitylated proteins in vivo and is required for degradation of a ubiquitylated model substrate,,,,,,,,
chr2,165935,NAG,NAG,,,,,,,,
chr2,165938,NAG,NAG,,,,,,,,
chr2,165940,NAG,NAG,,,,,,,,
chr2,167924,NAG,NAG,,,,,,,,
chr2,167998,NAG,NAG,,,,,,,,
chr2,172322,NAG,NAG,,,,,,,,
chr2,174535, YBL024W,NCL1 - S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120,,,,,,,
chr2,175505, YBL023C,MCM2 - Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex,,,,,,,,
chr2,17571, YBL105C,PKC1 - Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC),,,,,,
chr2,190128, YBL017C,PEP1 - Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments,,,,,,,,
chr2,243326, YBR003W,COQ1 - Hexaprenyl pyrophosphate synthetase, catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis,,,,,,,
chr2,258208,NAG,NAG,,,,,,,,
chr2,258211,NAG,NAG,,,,,,,,
chr2,258757, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258758, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258767, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258778, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258784, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258785, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258792, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258794, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258797, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,258802, YBRCdelta11, - Ty1 LTR,,,,,,,,
chr2,266351,NAG,NAG,,,,,,,,
chr2,268895, YBR015C,MNN2 - Alpha-1,2-mannosyltransferase, responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment,,,,
chr2,270315, YBR016W, - Tail-anchored plasma membrane protein containing a conserved CYSTM module; predicted to be palmitoylated; has similarity to hydrophilins, which are involved in the adaptive response to hyperosmotic conditions,,,,,,,
chr2,274224,NAG,NAG,,,,,,,,
chr2,299270, YBR030W,RKM3 - Ribosomal lysine methyltransferase specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein,,,,,,,,
chr2,299554, YBR030W,RKM3 - Ribosomal lysine methyltransferase specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein,,,,,,,,
chr2,316949,NAG,NAG,,,,,,,,
chr2,342440,NAG,NAG,,,,,,,,
chr2,415764,NAG,NAG,,,,,,,,
chr2,421076, YBR086C,IST2 - Plasma membrane protein that may be involved in osmotolerance, localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells; mRNA is transported to the bud tip by an actomyosin-driven process,,,,,,,
chr2,429267,NAG,NAG,,,,,,,,
chr2,442065, YBR098W,MMS4 - Subunit of the structure-specific Mms4p-Mus81p endonuclease that cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination,,,,,,
chr2,467332, YBR114W,RAD16 - Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad7p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex,,,,,,,,
chr2,484228, YBR122C,MRPL36 - Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region,,,,,,,,
chr2,492931,NAG,NAG,,,,,,,,
chr2,504355, YBR134W, - Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data,,,,,,,
chr2,526831,NAG,NAG,,,,,,,,
chr2,533244, YBR144C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YBR144C is not an essential gene,,,,,,,
chr2,537159, YBR147W,RTC2 - Protein of unknown function; identified in a screen for mutants with decreased levels of rDNA transcription; detected in highly purified mitochondria; null mutant suppresses cdc13-1; similar to a G-protein coupled receptor from S. pombe,,,,,,,,
chr2,561222,NAG,NAG,,,,,,,,
chr2,571328,NAG,NAG,,,,,,,,
chr2,579318, YBR172C,SMY2 - Protein of unknown function involved in COPII vesicle formation; interacts with the Sec23p/Sec24p subcomplex; overexpression suppresses the temperature sensitivity of a myo2 mutant; has similarity to S. pombe Mpd2,,,,,,,,
chr2,586459,NAG,NAG,,,,,,,,
chr2,6018, YBL109W, - Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data,,,,,,,
chr2,6157, TEL02L, - Telomeric region on the left arm of Chromosome II; composed of an X element core sequence, X element combinatorial repeats, and a short Y' element,,,,,,
chr2,6158, TEL02L, - Telomeric region on the left arm of Chromosome II; composed of an X element core sequence, X element combinatorial repeats, and a short Y' element,,,,,,
chr2,6175, TEL02L, - Telomeric region on the left arm of Chromosome II; composed of an X element core sequence, X element combinatorial repeats, and a short Y' element,,,,,,
chr2,6181, TEL02L, - Telomeric region on the left arm of Chromosome II; composed of an X element core sequence, X element combinatorial repeats, and a short Y' element,,,,,,
chr2,6191, TEL02L, - Telomeric region on the left arm of Chromosome II; composed of an X element core sequence, X element combinatorial repeats, and a short Y' element,,,,,,
chr2,627055, YBR202W,MCM7 - Component of the heterohexameric MCM2-7 complex, which primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex,,,,,,,
chr2,628361,NAG,NAG,,,,,,,,
chr2,634214, YBR205W,KTR3 - Putative alpha-1,2-mannosyltransferase involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates uptake of Ktr3p into COPII vesicles,,,,,,,
chr2,637063, YBR208C,DUR1,2 - Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation,,,,
chr2,638086, YBR208C,DUR1,2 - Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation,,,,
chr2,639832, YBR208C,DUR1,2 - Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation,,,,
chr2,643013, tC(GCA)B, - tRNA-Cys,,,,,,,,
chr2,643489, YBRCtau2, - Ty4 LTR,,,,,,,,
chr2,643866, YBRWdelta18, - Ty1 LTR,,,,,,,,
chr2,647284,NAG,NAG,,,,,,,,
chr2,649337, YBR212W,NGR1 - RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; expressed in stationary phase,,,,,,,,
chr2,679276,NAG,NAG,,,,,,,,
chr2,680726, LSR1,LSR1 - U2 snRNA, component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing,,,,,,,
chr2,681206, LSR1,LSR1 - U2 snRNA, component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing,,,,,,,
chr2,681344, LSR1,LSR1 - U2 snRNA, component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing,,,,,,,
chr2,681870,NAG,NAG,,,,,,,,
chr2,682726, YBR231C,SWC5 - Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A,,,,,,
chr2,683908, YBR233W,PBP2 - RNA binding protein with similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length,,,,,,,
chr2,689085, YBR235W, - Putative ion transporter, similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family; YBR235W is not an essential gene,,,,,,,
chr2,689867, YBR235W, - Putative ion transporter, similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family; YBR235W is not an essential gene,,,,,,,
chr2,693069, YBR237W,PRP5 - RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA,,,,,,
chr2,694133, YBR237W,PRP5 - RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA,,,,,,
chr2,694153, YBR237W,PRP5 - RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA,,,,,,
chr2,698075,NAG,NAG,,,,,,,,
chr2,700356,NAG,NAG,,,,,,,,
chr2,702006,NAG,NAG,,,,,,,,
chr2,704814, YBR242W, - Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR242W is not an essential gene,,,,,,,,
chr2,723663,NAG,NAG,,,,,,,,
chr2,738469,NAG,NAG,,,,,,,,
chr2,749280, YBR273C,UBX7 - UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p,,,,,,,,
chr2,761081,NAG,NAG,,,,,,,,
chr2,768174,NAG,NAG,,,,,,,,
chr2,783212, YBR290W,BSD2 - Heavy metal ion homeostasis protein, facilitates trafficking of Smf1p and Smf2p metal transporters to the vacuole where they are degraded, controls metal ion transport, prevents metal hyperaccumulation, functions in copper detoxification,,,,
chr2,783400, YBR290W,BSD2 - Heavy metal ion homeostasis protein, facilitates trafficking of Smf1p and Smf2p metal transporters to the vacuole where they are degraded, controls metal ion transport, prevents metal hyperaccumulation, functions in copper detoxification,,,,
chr2,784713, YBR292C, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YBR292C is not an essential gene,,,,,,,
chr2,809468,NAG,NAG,,,,,,,,
chr2,809484,NAG,NAG,,,,,,,,
chr2,89966,NAG,NAG,,,,,,,,
chr2,93551,NAG,NAG,,,,,,,,
chr2,93606,NAG,NAG,,,,,,,,
chr2,96034,NAG,NAG,,,,,,,,
chr3,101876,NAG,NAG,,,,,,,,
chr3,107899,NAG,NAG,,,,,,,,
chr3,123478,NAG,NAG,,,,,,,,
chr3,148615, YCR018C,SRD1 - Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation,,,,,,,,
chr3,168525,NAG,NAG,,,,,,,,
chr3,168536,NAG,NAG,,,,,,,,
chr3,168589,NAG,NAG,,,,,,,,
chr3,193474, YCR036W,RBK1 - Putative ribokinase,,,,,,,,
chr3,211722,NAG,NAG,,,,,,,,
